text,code
"I envision ""online community"" as a place where people of all kind from all over the world comes together online to work and or learn together. Online communities occur when individuals come together for a sense of purpose. I would say that our class on this Ning website is an example of an online community. We come together and engage in conversations to enhance our learning and understanding. Slowly we become comfortable with one another so that the space shared in our online community is a safe place. We all have a common interest in choosing this class and taking this class. Each person may have a different reason for taking this class as we stated in our voicethreads the first week of class, but we had the option to come together to take this class and share the space here. I envision online learning communities as a place where people could freely express their self and keep an open mind to what they would like to share with other people within the community.",DKI
"I, I definitely agree that an online learning community should be a place where people can express freely and keep an open mind to other people's opinions. I think sometimes this can be a little harder in an online class because when people are having a discussion you are only ever reading their responses. You are not able to read someone's body language and other things that people take advantage of when they are face to face. But if everyone is open minded I think people's differences in opinions can be amazing in an online learning community because it gets everyone thinking.",MKC
"J, _I agree with you, it is definitely harder to express yourself through an online class since you don't get to hear how each person verbally contributes. I would say the pro of having online classes would be being able to see those who are quieter in a typical lecture classroom engaging and expressing their thoughts and opinions.",DKC
I- I agree I think this class is going to be a really good online community.  I really liked the voicethreads that we did the first week as this activity really gave us a better understanding about the members of the group.  This is my fist time using Ning- but so far I think it is going to be a really neat tool to use in this community,MKC
"I too would agree this will be a great online community with structure, entertainment, variety of learning opportunities....I also feel many programs are turning to online connections that will hopefully amount to a successful online community. _Programs that are spread out over distance may have to save money and start building resources around internet. _some of the personalized one on one may get lost in the mix, but as we are learning there are so many ways to ""see"" classmates or co-workers and also when you become familiar with online, you can eventually begin to ""read"" body language. _I know I can tell when someone is ready to debate a subject _... yikes _:) _its all good....",SKC
"I too would agree this will be a great online community with structure, entertainment, variety of learning opportunities....I also feel many programs are turning to online connections that will hopefully amount to a successful online community. _Programs that are spread out over distance may have to save money and start building resources around internet. _some of the personalized one on one may get lost in the mix, but as we are learning there are so many ways to ""see"" classmates or co-workers and also when you become familiar with online, you can eventually begin to ""read"" body language. _I know I can tell when someone is ready to debate a subject _... yikes _:) _its all good....",DKC
"I would agree with what you said. It's definitely successful to have online communities and classes. Last semester I had a student from the Duluth campus as a group member for an online class. I was quite shocked, but at the same time, when I thought about it, I liked the idea of having classmates from different campuses as well",MKC
"I define ""online community"" as a place where people from all over engages in some type of online work whether it is for some type of service or just for to connect with others in the world. Wikipedia stated that online community can be an information system whether people can post up information whether if it is open to everyone to post or private to only a few certain people able to post. The other big form of of online community is a form of communication for people. Communities would either be more like a blogging pages or social media sites like Facebook. As stated above it would feel like the online communities would mainly be used to connect with people or used as a source to give out information and find information. Online learning communities help bond people together who may not know each other before. For example, online classes at the University of Minnesota help colleagues like us bond together. It's a shared place where we all come together and learn more about one another through our interactions. There's a sense of ""purpose"" that each online community hold. The ""purpose"" of each online community varies depending on the structure of the community.",MKI
"I define ""online community"" as a place where people from all over engages in some type of online work whether it is for some type of service or just for to connect with others in the world. Wikipedia stated that online community can be an information system whether people can post up information whether if it is open to everyone to post or private to only a few certain people able to post. The other big form of of online community is a form of communication for people. Communities would either be more like a blogging pages or social media sites like Facebook. As stated above it would feel like the online communities would mainly be used to connect with people or used as a source to give out information and find information. Online learning communities help bond people together who may not know each other before. For example, online classes at the University of Minnesota help colleagues like us bond together. It's a shared place where we all come together and learn more about one another through our interactions. There's a sense of ""purpose"" that each online community hold. The ""purpose"" of each online community varies depending on the structure of the community.",MKI
"I define ""online community"" as a place where people from all over engages in some type of online work whether it is for some type of service or just for to connect with others in the world. Wikipedia stated that online community can be an information system whether people can post up information whether if it is open to everyone to post or private to only a few certain people able to post. The other big form of of online community is a form of communication for people. Communities would either be more like a blogging pages or social media sites like Facebook. As stated above it would feel like the online communities would mainly be used to connect with people or used as a source to give out information and find information. Online learning communities help bond people together who may not know each other before. For example, online classes at the University of Minnesota help colleagues like us bond together. It's a shared place where we all come together and learn more about one another through our interactions. There's a sense of ""purpose"" that each online community hold. The ""purpose"" of each online community varies depending on the structure of the community.",DKI
"Hi K! - I agree with you that an online community can be many different types such as facebook, online search engines and blogging type sites.  I think that it is interesting that we can create relationships and think collaboratively with others over many different types of online communities.  There is definitely a sense of purpose that each different online community has to offer",MKC
"K,I agree that each online community has their own purpose to it. At first when I thought about online communities, I thought they were all similar and ""what's the purpose of having Facebook when it's just like Myspace?"" always comes to my mind. However, after thinking it through, they may both be generally the same, a place for social networking, but Facebook is more about being able to browse through what your friends wish to share and to comment on it, while Myspace is more about conversations on each other's Myspace page",MKC
"BUILDING STRONGER BRANDS THROUGH ONLINE COMMUNITIEShttp://sloanreview.mit.edu/article/building-stronger-brands-through...This article was talking about how the increase of brand products on line and how they need to build a community with on-line. _Here it talks about the relationship needed between the consumer and the seller. _The internet has a way to capture positive responses from consumers because of the way they can catch their eye. Technology is soooo creative, and more and more people are shopping on line. _I would only think how much companies can benefit from having an online community to help sell their products. _There are certain products that people stick with for quality, an others who are willing to check out the competition to save a buck or two.Online budget areas really catch the eye of the consumer, especially when they can advertise along side another main page like Face book, or the bigger name productions like home depot. _Being able to capture someone's attention with a quick flash of ""onsale"" will help increase their sales....I feel when I can build a relationship with other students through a ""what's on your mind"" talk session is more meaningful, because people are usually letting their hair down and having a fun moment of expression. _A quick story of what is going on is much better than a page of dialog. _Online communities can be creative, serious, fun, energetic, and much more which makes it fun to learn!Thank you...",SKI
"BUILDING STRONGER BRANDS THROUGH ONLINE COMMUNITIEShttp://sloanreview.mit.edu/article/building-stronger-brands-through...This article was talking about how the increase of brand products on line and how they need to build a community with on-line. _Here it talks about the relationship needed between the consumer and the seller. _The internet has a way to capture positive responses from consumers because of the way they can catch their eye. Technology is soooo creative, and more and more people are shopping on line. _I would only think how much companies can benefit from having an online community to help sell their products. _There are certain products that people stick with for quality, an others who are willing to check out the competition to save a buck or two.Online budget areas really catch the eye of the consumer, especially when they can advertise along side another main page like Face book, or the bigger name productions like home depot. _Being able to capture someone's attention with a quick flash of ""onsale"" will help increase their sales....I feel when I can build a relationship with other students through a ""what's on your mind"" talk session is more meaningful, because people are usually letting their hair down and having a fun moment of expression. _A quick story of what is going on is much better than a page of dialog. _Online communities can be creative, serious, fun, energetic, and much more which makes it fun to learn!Thank you...",MKI
"BUILDING STRONGER BRANDS THROUGH ONLINE COMMUNITIEShttp://sloanreview.mit.edu/article/building-stronger-brands-through...This article was talking about how the increase of brand products on line and how they need to build a community with on-line. _Here it talks about the relationship needed between the consumer and the seller. _The internet has a way to capture positive responses from consumers because of the way they can catch their eye. Technology is soooo creative, and more and more people are shopping on line. _I would only think how much companies can benefit from having an online community to help sell their products. _There are certain products that people stick with for quality, an others who are willing to check out the competition to save a buck or two.Online budget areas really catch the eye of the consumer, especially when they can advertise along side another main page like Face book, or the bigger name productions like home depot. _Being able to capture someone's attention with a quick flash of ""onsale"" will help increase their sales....I feel when I can build a relationship with other students through a ""what's on your mind"" talk session is more meaningful, because people are usually letting their hair down and having a fun moment of expression. _A quick story of what is going on is much better than a page of dialog. _Online communities can be creative, serious, fun, energetic, and much more which makes it fun to learn!Thank you...",DKI
"BUILDING STRONGER BRANDS THROUGH ONLINE COMMUNITIEShttp://sloanreview.mit.edu/article/building-stronger-brands-through...This article was talking about how the increase of brand products on line and how they need to build a community with on-line. _Here it talks about the relationship needed between the consumer and the seller. _The internet has a way to capture positive responses from consumers because of the way they can catch their eye. Technology is soooo creative, and more and more people are shopping on line. _I would only think how much companies can benefit from having an online community to help sell their products. _There are certain products that people stick with for quality, an others who are willing to check out the competition to save a buck or two.Online budget areas really catch the eye of the consumer, especially when they can advertise along side another main page like Face book, or the bigger name productions like home depot. _Being able to capture someone's attention with a quick flash of ""onsale"" will help increase their sales....I feel when I can build a relationship with other students through a ""what's on your mind"" talk session is more meaningful, because people are usually letting their hair down and having a fun moment of expression. _A quick story of what is going on is much better than a page of dialog. _Online communities can be creative, serious, fun, energetic, and much more which makes it fun to learn!Thank you...",DKI
"H,You bring up an interesting point about the ""what's on your mind"" talk. _It seems like in an online discussion we can stay so focused on topic that we miss the side conversations you would have in a f-2-f class. _As a teacher, I often build in that side chatter time into my groups simply because I know that their talking about stress of a deadline or if someone caught the latest episode of some TV show matters. _It matters because they are learning about each other, what their interests are and ultimately learning to trust one another. _I think Instructor has built this in with the chat, the blogs, and not completely dictating this discussion. _Thanks for bringing this up - I think it's way more important than we give credit for.",MKC
"I firmly believe that community is important in online learning spaces because without a doubt it builds collaboration. Without community (and a strong community that is), you lack engagement, trust, and respect from members of the online learning space, which makes the online space seem void; serving no purpose. Community in an online learning space allows members to create a sense of ownership and connection to others. In the paper, Building a Dynamic Online Learning Community among Adult Learners, it notes evidence of an online community forming from three markers: active participation, the forming of a shared identity, and the establishment of a social network. Without participation, you lack interaction, and therefore lack any opportunities to learn from each other (such through constructivism or active learning [noted in our book]). Our book really sums it up well in the first chapter, ""The development of community as part of the learning process helps create a learning experience that is powerful and rich.""",MKI
"I firmly believe that community is important in online learning spaces because without a doubt it builds collaboration. Without community (and a strong community that is), you lack engagement, trust, and respect from members of the online learning space, which makes the online space seem void; serving no purpose. Community in an online learning space allows members to create a sense of ownership and connection to others. In the paper, Building a Dynamic Online Learning Community among Adult Learners, it notes evidence of an online community forming from three markers: active participation, the forming of a shared identity, and the establishment of a social network. Without participation, you lack interaction, and therefore lack any opportunities to learn from each other (such through constructivism or active learning [noted in our book]). Our book really sums it up well in the first chapter, ""The development of community as part of the learning process helps create a learning experience that is powerful and rich.""",SKI
"I firmly believe that community is important in online learning spaces because without a doubt it builds collaboration. Without community (and a strong community that is), you lack engagement, trust, and respect from members of the online learning space, which makes the online space seem void; serving no purpose. Community in an online learning space allows members to create a sense of ownership and connection to others. In the paper, Building a Dynamic Online Learning Community among Adult Learners, it notes evidence of an online community forming from three markers: active participation, the forming of a shared identity, and the establishment of a social network. Without participation, you lack interaction, and therefore lack any opportunities to learn from each other (such through constructivism or active learning [noted in our book]). Our book really sums it up well in the first chapter, ""The development of community as part of the learning process helps create a learning experience that is powerful and rich.""",MKI
"This is so very true...Reading your post and hearing you say how important community is and how it allows members to create a sense of ownership and connection to others. _I am not an online instructor(yet), but I can only imagine how this type of ongoing dialogue can give good feedback to instructors. _They can learn from us as much as we are learning from each other.This also makes me think of the movie that is out, Her. (I think that is the name) _Where a man talks to his computer all day everyday because he has build a relationship with ""her"". _A bit much for me, but to someone who may live alone, I can see it being beneficial. _Our communication keeps this class interesting..",SKC
"This is so very true...Reading your post and hearing you say how important community is and how it allows members to create a sense of ownership and connection to others. _I am not an online instructor(yet), but I can only imagine how this type of ongoing dialogue can give good feedback to instructors. _They can learn from us as much as we are learning from each other.This also makes me think of the movie that is out, Her. (I think that is the name) _Where a man talks to his computer all day everyday because he has build a relationship with ""her"". _A bit much for me, but to someone who may live alone, I can see it being beneficial. _Our communication keeps this class interesting..",MKC
"Link to mind map Hi all,I created a mind map of some early thoughts about online communities. It'll be interesting to see how it progresses over the semester. I could not get the embed or other nifty bits of code to work - but I will give it another go tomorrow when I'm on a PC (sometimes this Chromebook has odd compatibility issues with some applications).",DKI
"Link to mind map Hi all,I created a mind map of some early thoughts about online communities. It'll be interesting to see how it progresses over the semester. I could not get the embed or other nifty bits of code to work - but I will give it another go tomorrow when I'm on a PC (sometimes this Chromebook has odd compatibility issues with some applications).",DKI
G- I was able to see you mind map.  That was really cool.  I really like the four main points that you webbed from.  Active and contribute were the ones that really hit me as so important for a success online community.  Thank you for showing me something new.,MKC
"G,I liked that your mind map had the ""lurker"" and ""contributer"" as participants/presence. What does it take to make someone move from lurker to contributor in an online community?",SKC
"hmmm...good question, E! I'm not entirely sure how someone would move from lurker to contributer...maybe someone else in the community personally reached out to that person and contacted/talked to him/her - that interaction might prompt that person to then interact in more ways in the community, or with additional community members. Just some thoughts off the top of my head. Does anyone else have ideas with this? I'm curious too..",MKC
"I wish I could see your mind map, G! It sounds interesting. One thing that may move a person from lurker to participant is becoming more knowledgeable, either about the community and its norms (because it's someone who has arrived recently and wants to find out what it's like there) or about the subject matter. If I'm coming in cold, I like to suss out a group a bit before I participate. In a class like this, there's a context and expectations established by the facilitator, but in a more open online community, I would probably hang out awhile without talking",DKC
"When I first think about community I immediately go to community in a classroom. As a future elementary education teacher this is something we talk about often in our classes. We want to create a community for our students where they can feel safe and comfortable but also where they are able to expand their knowledge as students and as individuals. When I think about an online learning community I think these same values are important. People need to be able to feel safe and comfortable to express their opinions without feeling as though they are going to be attacked if their opinions aren't the same as everyone else's. That being said if everyone is open minded to other's opinions online learning communities are great because you get to work with people and learn about their opinions and views. I like this because most of the time I work with elementary education students and we often have the same views on things, so it is nice to be able to work with people who may have views different than my own. ",DKI
"Hi J! - I agree with you and have the same idea about creating a safe and interactive community in the classroom.  Even if the community is build upon interactive ways online I agree that we can use similar strategies in order to be successful.  Keeping an open mind and listening to what others have to say about certain topics is vital and good practice for future jobs, relationships and learning experiences.",MKC
"For this discussion post I chose to create a bubble map. _I believe that an online community includes connecting with others, the initial experience and engagement with the participants and benefits to the online community. _Above in the bubble map I decided to break each category up.Online communities are very similar to communities in the classroom. _For example, I am an elementary education major and one of my main goals as a future educator is to create a safe and collaborative learning community in my classroom, from peer to peer and teacher to peers. _I want everyone to feel comfortable sharing and have the opportunity to support one another and team together in order to have a successful learning experience. _Going off of this idea in the classroom - online communities are no different. _Online communities may seem harder to collaborate via the internet (no face to face time) and because of this it is extremely important for all participants to be committed and willing to think outside the box while collaborating online.",DKI
"For this discussion post I chose to create a bubble map. _I believe that an online community includes connecting with others, the initial experience and engagement with the participants and benefits to the online community. _Above in the bubble map I decided to break each category up.Online communities are very similar to communities in the classroom. _For example, I am an elementary education major and one of my main goals as a future educator is to create a safe and collaborative learning community in my classroom, from peer to peer and teacher to peers. _I want everyone to feel comfortable sharing and have the opportunity to support one another and team together in order to have a successful learning experience. _Going off of this idea in the classroom - online communities are no different. _Online communities may seem harder to collaborate via the internet (no face to face time) and because of this it is extremely important for all participants to be committed and willing to think outside the box while collaborating online.",DKI
What a great way to express your view of an online community. Very creative!,SKC
"Hi L, What a great bubble map you created! I definitely agree that it may be harder for collaboration to happen in online classes because there is no face to face time and people must be willing to put in the effort for the class. But I definitely think that collaboration can happen in online classes if everyone is willing to put in the work. ",MKC
"An online leaning community is a destination on the Internet where where the needs of members are addressed through individual-to-individual sharing of knowledge and information (Online learning community, Wikipedia). Such a community is aimed at fostering the learning needs of members by using social networking or computer applications such as texts, audio, or video. The literature does not describe a pre-determined look or feel for an online learning community. However, it is important for members to feel a sense of belonging and that their learning needs are addressed by participation.One common example of a learning community is Community of practice, defined as ""a group of people who share a craft and/or a profession"" (Community of practice, Wikipedia). Those who form or belong to a community of practice do so to advance their professional objectives by sharing knowledge related to their particular field or profession.",MKI
"An online leaning community is a destination on the Internet where where the needs of members are addressed through individual-to-individual sharing of knowledge and information (Online learning community, Wikipedia). Such a community is aimed at fostering the learning needs of members by using social networking or computer applications such as texts, audio, or video. The literature does not describe a pre-determined look or feel for an online learning community. However, it is important for members to feel a sense of belonging and that their learning needs are addressed by participation.One common example of a learning community is Community of practice, defined as ""a group of people who share a craft and/or a profession"" (Community of practice, Wikipedia). Those who form or belong to a community of practice do so to advance their professional objectives by sharing knowledge related to their particular field or profession.",DKI
"N,I like thinking about an online community in terms of a community of practice or professional community. I wonder if online communities take on some of the same social norms as their face-to-face counterpart in professions",SKC
"Based on my experience online and on what Iêve read so far, I believe that community is important to the success of online spaces, and especially to the construction of learning online. Social constructivist theory posits that learning is created as a social activity, so it would seem necessary to foster learning through the development of community. And George Siemensê theory of connectivity talks about developing and maintaining connections between people as critical to constructing learning. Many of the papers I read for the Intro to LT class described cooperative and transformative learning as needing a high degree of interaction among students and also between students and teachers to succeed. I would like to read more about the relationship between online community development and transformational learning.When an online community really works, perhaps it can draw its participants back inside again and again in the same way as a student hangout (of the brick-and-mortar variety) might_in the same way as the student room in the East Asian Studies department did when I was an undergrad. Maybe it can become the place people want to be for interesting discussion and encouragement and learning. I would like to learn more about ways to construct online spaces that nourish that sort of inviting environment that feels appealing, supportive, and challenging, so that students develop the intrinsic motivation to log on often_to see our friends and colleagues and learn something new from each other.",MKI
"Based on my experience online and on what Iêve read so far, I believe that community is important to the success of online spaces, and especially to the construction of learning online. Social constructivist theory posits that learning is created as a social activity, so it would seem necessary to foster learning through the development of community. And George Siemensê theory of connectivity talks about developing and maintaining connections between people as critical to constructing learning. Many of the papers I read for the Intro to LT class described cooperative and transformative learning as needing a high degree of interaction among students and also between students and teachers to succeed. I would like to read more about the relationship between online community development and transformational learning.When an online community really works, perhaps it can draw its participants back inside again and again in the same way as a student hangout (of the brick-and-mortar variety) might_in the same way as the student room in the East Asian Studies department did when I was an undergrad. Maybe it can become the place people want to be for interesting discussion and encouragement and learning. I would like to learn more about ways to construct online spaces that nourish that sort of inviting environment that feels appealing, supportive, and challenging, so that students develop the intrinsic motivation to log on often_to see our friends and colleagues and learn something new from each other.",DKI
"Hi F,I am intrigued by your thoughts/comments about drawing participants back inside again and again. _I think about student hangout spaces and it can often start with students simply being in the same grade level or same class so they have this commonality to start with. _But, I think it's more than that. _I think when an instructor creates space in the beginning of his/her classes to let students get to know one another in meaningful ways it pays off dividends in the end. _This involves creating activities or using instructional strategies that ""force"" students to pay attention to one another. _We are experiencing this strategy right this moment! _I can't say the same for other classes I'm taking. _In fact, after one of my classes last week this one person I left at the same time, rode the elevator down 11 flights and we didn't say a peep to one another. _The instructor hasn't set it up for us to get to know one another and I just didn't have it in me to put myself out there. _I didn't have neither the comfort socially nor the content of the course to lean on to start a conversation. _However, even this minimal interaction we are having in this threaded discussion, I know I'd not only feel comfortable talking to you, I'd likely even feel confident enough to initiate it!",SKC
"Hi F,I am intrigued by your thoughts/comments about drawing participants back inside again and again. _I think about student hangout spaces and it can often start with students simply being in the same grade level or same class so they have this commonality to start with. _But, I think it's more than that. _I think when an instructor creates space in the beginning of his/her classes to let students get to know one another in meaningful ways it pays off dividends in the end. _This involves creating activities or using instructional strategies that ""force"" students to pay attention to one another. _We are experiencing this strategy right this moment! _I can't say the same for other classes I'm taking. _In fact, after one of my classes last week this one person I left at the same time, rode the elevator down 11 flights and we didn't say a peep to one another. _The instructor hasn't set it up for us to get to know one another and I just didn't have it in me to put myself out there. _I didn't have neither the comfort socially nor the content of the course to lean on to start a conversation. _However, even this minimal interaction we are having in this threaded discussion, I know I'd not only feel comfortable talking to you, I'd likely even feel confident enough to initiate it!",MKC
